City,Population,"Murders per 10,000 people","Rapes per 10,000","Robberies per 10,000","Assaults per 10,000","Burglaries per 10,000","Larceny-thefts per 10,000","Motor vehicle thefts per 10,000","Arsons per 10,000"
East Brookfield,"2,065",0.00,0.00,4.80,24.20,33.90,188.90,14.50,4.80
Methuen,"43,987",0.20,0.90,3.20,25.00,50.20,158.20,26.80,0.20
Swansea,"16,274",0.00,1.80,1.80,26.40,29.50,141.90,16.60,1.80
Framingham,"64,519",0.20,1.70,6.20,22.30,41.50,180.70,25.70,
Orange,"7,831",0.00,2.60,2.60,25.50,118.80,121.30,7.70,0.00
Hinsdale,"1,945",0.00,0.00,0.00,30.80,20.60,5.10,0.00,
Beverly,"39,435",0.00,2.50,5.10,23.30,27.10,139.00,10.10,0.00
Fairhaven,"16,115",0.60,0.00,6.20,24.80,90.60,241.40,14.30,1.20
Monson,"8,841",0.00,4.50,0.00,27.10,43.00,101.80,5.70,0.00
Mashpee,"14,417",0.00,1.40,4.20,26.40,80.50,156.80,8.30,2.80
Dalton,"6,546",0.00,6.10,1.50,24.40,36.70,90.10,1.50,9.20
Oxford,"13,671",0.00,0.70,2.90,28.50,34.40,74.60,14.60,2.20
Ayer,"7,378",0.00,4.10,6.80,21.70,67.80,119.30,13.60,4.10
Stoughton,"26,924",0.00,3.00,8.20,21.50,73.20,102.50,10.00,0.00
Bourne,"19,048",0.00,2.60,5.20,25.20,135.40,164.30,4.70,1.60
Attleboro,"43,228",0.00,1.90,7.20,24.10,51.60,153.10,16.40,2.10
Hadley,"4,786",0.00,2.10,8.40,23.00,62.70,311.30,14.60,2.10
Abington,"16,590",0.60,6.00,3.00,24.10,71.70,128.40,16.90,0.00
Northampton,"28,341",0.00,3.20,4.20,26.80,50.50,220.20,16.20,1.10
Winthrop,"20,404",0.00,1.50,3.90,28.90,49.00,78.40,9.30,1.00
Kingston,"12,405",0.00,2.40,3.20,29.00,31.40,267.60,12.90,3.20
Buckland,"1,990",0.00,5.00,0.00,30.20,20.10,65.30,0.00,0.00
Westport,"15,253",0.00,1.30,0.00,34.70,48.50,53.10,18.40,0.70
Wellfleet,"2,746",0.00,0.00,0.00,36.40,87.40,145.70,7.30,3.60
Quincy,"95,061",0.20,1.60,11.00,23.70,62.90,119.80,14.20,0.80
Barre,"5,455",0.00,3.70,3.70,29.30,38.50,86.20,7.30,
Northfield,"2,990",0.00,3.30,0.00,33.40,80.30,143.80,10.00,
Saugus,"27,327",0.00,1.80,8.40,26.70,75.40,304.10,28.50,0.40
Falmouth,"33,302",0.30,4.50,2.70,30.00,165.80,156.10,11.40,4.80
Hardwick,"2,653",0.00,0.00,0.00,37.70,15.10,71.60,7.50,3.80
Sunderland,"3,714",0.00,0.00,2.70,35.00,56.50,51.20,8.10,0.00
Hull,"11,064",0.00,0.00,2.70,35.20,46.10,79.50,9.90,0.90
Marlborough,"38,253",0.00,2.90,3.90,31.60,28.20,149.50,13.60,0.80
Erving,"1,546",0.00,6.50,0.00,32.30,90.60,142.30,12.90,0.00
Athol,"11,637",0.00,6.00,2.60,31.80,93.70,147.80,8.60,1.70
Cambridge,"101,362",0.20,1.40,15.30,24.00,39.10,246.60,23.90,1.00
Somerville,"74,012",0.30,2.70,15.10,23.00,60.80,218.10,33.60,0.90
Revere,"56,445",0.40,2.70,9.00,29.90,51.60,188.30,42.50,0.40
Gardner,"20,587",0.00,5.30,3.90,33.50,92.30,160.80,17.50,1.50
Middleboro,"21,402",0.00,3.30,5.60,34.10,60.30,156.50,21.00,0.50
Ware,"9,961",0.00,3.00,5.00,35.10,29.10,146.60,11.00,2.00
Southbridge,"16,886",0.00,2.40,5.90,39.10,101.90,117.80,17.80,3.00
Adams,"8,145",0.00,7.40,0.00,40.50,101.90,197.70,8.60,2.50
Warren,"5,108",0.00,0.00,0.00,48.90,58.70,37.20,19.60,0.00
Winchendon,"10,192",0.00,2.90,2.90,43.20,43.20,177.60,16.70,2.00
Randolph,"30,068",0.00,2.30,7.30,40.20,45.90,181.90,23.60,0.30
Provincetown,"3,383",0.00,5.90,0.00,44.30,29.60,523.20,5.90,0.00
Everett,"37,172",0.50,4.00,13.50,32.60,87.40,235.10,41.20,0.30
Dennis,"15,406",0.00,3.20,4.50,43.50,107.80,216.10,12.30,2.60
Salisbury,"8,609",0.00,7.00,1.20,45.30,91.80,110.30,19.70,1.20
Leominster,"41,095",0.20,1.90,4.60,47.70,53.50,234.60,15.10,1.90
Taunton,"55,745",1.10,1.80,9.10,42.70,97.40,112.30,17.60,2.20
Montague,"8,318",0.00,8.40,2.40,48.10,70.90,139.50,13.20,7.20
Chicopee,"53,777",0.40,4.60,10.60,44.40,87.40,196.90,27.70,0.90
North Adams,"13,781",0.70,2.90,3.60,54.40,182.10,257.60,20.30,2.90
Lawrence,"69,812",0.60,2.00,14.90,47.80,88.10,146.50,48.80,
